workerID,gender,age,income,language,order,animalID,animal,QUD,condition,isMetaphor,rating
28,M,55,8,english,3,9,cheetah,agile,figurative,T,0.74
28,M,55,8,english,4,6,monkey,funny,figurative,T,0.31
28,M,55,8,english,5,2,whale,majestic,figurative,T,0.55
28,M,55,8,english,6,3,bird,small,figurative,T,0.28
28,M,55,8,english,7,10,turtle,null,figurative,T,0.43
28,M,55,8,english,8,5,panda,cute,literal,F,null
28,M,55,8,english,9,12,rabbit,cute,figurative,T,0.38
28,M,55,8,english,10,11,lion,null,literal,F,null
28,M,55,8,english,11,7,penguin,null,figurative,T,0.32
28,M,55,8,english,12,1,ant,industrious,figurative,T,0.5
29,M,35,4,English,1,4,elephant,big,figurative,T,0.12
29,M,35,4,English,2,8,giraffe,long,literal,F,null
29,M,35,4,English,3,10,turtle,strong,figurative,T,0
29,M,35,4,English,4,12,rabbit,cute,literal,F,null
29,M,35,4,English,5,6,monkey,null,figurative,T,0.08
29,M,35,4,English,6,2,whale,majestic,literal,F,null
29,M,35,4,English,7,3,bird,fast,figurative,T,0.7
29,M,35,4,English,8,7,penguin,null,figurative,T,0.32
29,M,35,4,English,9,5,panda,cute,figurative,T,0.97
29,M,35,4,English,10,1,ant,null,figurative,T,0.04
29,M,35,4,English,11,9,cheetah,fast,figurative,T,1
29,M,35,4,English,12,11,lion,fierce,figurative,T,1
30,M,35,4,english,1,7,penguin,funny,figurative,T,0.51
30,M,35,4,english,2,5,panda,cute,figurative,T,0.51
30,M,35,4,english,3,6,monkey,funny,figurative,T,0.62
30,M,35,4,english,4,11,lion,strong,figurative,T,0.77
30,M,35,4,english,5,4,elephant,null,literal,F,null
30,M,35,4,english,6,8,giraffe,long,figurative,T,0.6
30,M,35,4,english,7,12,rabbit,cute,literal,F,null
30,M,35,4,english,8,3,bird,fast,literal,F,null
30,M,35,4,english,9,2,whale,majestic,figurative,T,0.57
30,M,35,4,english,10,10,turtle,null,figurative,F,null
30,M,35,4,english,11,9,cheetah,fast,figurative,T,0.65
30,M,35,4,english,12,1,ant,null,figurative,F,null
31,F,25,4,English,1,8,giraffe,null,figurative,F,null
31,F,25,4,English,2,1,ant,industrious,figurative,T,1
31,F,25,4,English,3,11,lion,fierce,literal,F,null
31,F,25,4,English,4,6,monkey,smart,literal,F,null
31,F,25,4,English,5,7,penguin,funny,figurative,F,null
31,F,25,4,English,6,5,panda,null,figurative,T,0.67
31,F,25,4,English,7,3,bird,small,figurative,T,0.26
31,F,25,4,English,8,2,whale,null,figurative,T,0.69
31,F,25,4,English,9,9,cheetah,fast,figurative,T,0.98
31,F,25,4,English,10,12,rabbit,cute,figurative,T,0.73
31,F,25,4,English,11,10,turtle,slow,figurative,T,1
31,F,25,4,English,12,4,elephant,big,literal,F,null
32,M,35,4,English ,1,2,whale,majestic,figurative,T,0.17
32,M,35,4,English ,2,7,penguin,cute,figurative,T,0.17
32,M,35,4,English ,3,9,cheetah,fast,figurative,T,0.91
32,M,35,4,English ,4,5,panda,big,literal,F,null
32,M,35,4,English ,5,6,monkey,null,figurative,T,0.09
32,M,35,4,English ,6,3,bird,small,figurative,T,0.01
32,M,35,4,English ,7,8,giraffe,tall,literal,F,null
32,M,35,4,English ,8,12,rabbit,null,literal,F,null
32,M,35,4,English ,9,4,elephant,big,figurative,T,0.9
32,M,35,4,English ,10,1,ant,small,figurative,T,0.93
32,M,35,4,English ,11,11,lion,strong,figurative,T,0.68
32,M,35,4,English ,12,10,turtle,null,figurative,T,0.1
