animal,feature,featureType,question,bin,Freq
elephant,proud,expanded,big,1,0.125
elephant,proud,expanded,big,2,0.375
elephant,proud,expanded,big,3,0.125
elephant,proud,expanded,big,4,0.125
elephant,proud,expanded,general,0,0.230769230769231
elephant,proud,expanded,general,1,0.0769230769230769
elephant,proud,expanded,general,2,0.384615384615385
elephant,proud,expanded,general,3,0.230769230769231
elephant,proud,expanded,general,4,0.0769230769230769
elephant,proud,expanded,hard,0,0.166666666666667
elephant,proud,expanded,hard,1,0.166666666666667
elephant,proud,expanded,hard,2,0.333333333333333
elephant,proud,expanded,hard,3,0.166666666666667
elephant,proud,expanded,hard,4,0.166666666666667
elephant,slow,expanded,big,0,0.125
